[PX Explorer] Starting on 0.0.0.0:7860 (SSL: True)
[PX Explorer] API:  https://localhost:7860/v1/
[PX Explorer] UI:   https://localhost:7860/gradio
INFO:     Started server process [891954]
INFO:     Waiting for application startup.
[PX API] Server starting...
INFO:     Application startup complete.
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Walkthrough-CA8p9s2e.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Index-Ds3FAhOq.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Index-CM2D55Fy.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/__vite-browser-external-D7Ct-6yo.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index-RHaFgtf7.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Button-BDRIefBo.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Index-pBW9Ruiz.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/misc-37w0soXi.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Image-MIGYU0iQ.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Index-Wc7iaih9.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/BaseForm-BXuWjfOZ.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Info-DqmfmY_Z.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/BlockTitle-DNb2cXCW.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/input-CjfW5iL4.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Index-D1fDZGVK.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Example-lo2XiqtY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/DropdownArrow-DLve6gkj.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/window-fUQf4JBE.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Index-DMaj38-p.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Dropdown-eaDEtjNQ.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/Index-CxgjfWEV.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/BlockLabel-DVGK1tqL.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/File-CPc3jiaQ.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Button-BZ4d-rtD.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Image-Da_XA0w6.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Empty-Ai5bf-OD.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/ImagePreview-CCVfwC4m.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/FileUpload-BLE2KdfA.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/BaseForm-DJxyhkeW.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/Example-BeU1J4ps.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58440 - "GET /gradio/assets/Upload-BtVQ7CFw.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Dropdown--Uz_kS2s.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /gradio/assets/Upload-C2I0h_eD.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/DownloadLink-KH8WzTNR.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58466 - "GET /gradio/assets/FileUpload-DiuLlPU9.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58430 - "GET /gradio/assets/UploadText-DjYYU5m0.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58452 - "GET /gradio/assets/Example-H850dxPY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Example-CbN4r5yx.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:58424 - "GET /gradio/assets/Index-CAp2s655.js HTTP/1.1" 200 OK
